56.8236310,60.5054060,"Екатеринбург, ул. Металлургов, 87",AllHere Екатеринбург
56.8530950,60.5502680,"Екатеринбург, ул. Халтурина, д. 55",AllHere Сити Карнавал
45.0340050,39.0500800,"Краснодар, ул. Уральская, 79",AllHere Уральская
55.8993560,37.6681920,"Московская область, г. Мытищи, Осташковское шоссе, 1",AllHere Мытищи
55.9132020,37.3960930,"Московская область, г. Химки, Микрорайон «ИКЕА», корпус 4",AllHere Химки
55.7522830,37.8872470,"Московская область, г. Реутов, Носовихинское шоссе, д. 45",AllHere Сад Реутов
55.8034690,37.6188480,"Москва, ул. Шереметьевская, д, 20",AllHere Сити Марьина Роща
55.7436490,37.5081220,"Москва, Багратионовский проезд,  д. 5",AllHere Сити Филион
56.3393970,43.9562110,"Нижний Новгород, ул. Бетанкура, д.1",AllHere Нижний Новгород
56.3179420,43.9254430,"Нижний Новгород, Московское шоссе, д. 12",AllHere Сад Огни
53.2073890,50.1979030,"Самара, ул. Дыбенко, д. 30",AllHere Космопорт
59.8886950,30.5101110,"Ленинградская область, Всеволожский район, Мурманское шоссе, 12-й километр",AllHere Дыбенко
60.0913610,30.3803580,"КАД, 117-й километр, внешнее кольцо, 1",AllHere Парнас
60.0532240,30.3896560,"Санкт-Петербург Проспект Культуры, 41",AllHere Сад Северный
59.9894000,30.2573250,"Санкт-Петербург, Торфяная дорога, д. 7",AllHere Сити Гулливер
